query_id,cluster_id,query,answer,record_id
pq-0205,faq-41,What are the stages of a placement drive? Please explain.,"A typical drive has a pre-placement talk, an online aptitude test, one or two technical interviews and an HR interview.",faq#c41
pq-0206,faq-42,Can I attend more placement drives after getting an offer?,"No. Under the one-offer rule, a student who accepts an offer cannot attend further drives, except for a dream company.",faq#c42
pq-0207,faq-42,Can you tell me can I attend more placement drives after getting an offer?,"No. Under the one-offer rule, a student who accepts an offer cannot attend further drives, except for a dream company.",faq#c42
pq-0208,faq-42,Can I attend more placement drives after getting an offer? Please explain.,"No. Under the one-offer rule, a student who accepts an offer cannot attend further drives, except for a dream company.",faq#c42
pq-0209,faq-42,Can I attend more placement drives after getting an offer at AMYPO?,"No. Under the one-offer rule, a student who accepts an offer cannot attend further drives, except for a dream company.",faq#c42
pq-0210,faq-42,Is it possible to attend more placement drives after getting an offer?,"No. Under the one-offer rule, a student who accepts an offer cannot attend further drives, except for a dream company.",faq#c42
pq-0211,faq-43,What is a dream company?,A dream company is one offering a CTC of at least Rs. 10 LPA. A placed student may apply to one dream company drive.,faq#c43
pq-0212,faq-43,What is a dream company? Please explain.,A dream company is one offering a CTC of at least Rs. 10 LPA. A placed student may apply to one dream company drive.,faq#c43
pq-0213,faq-43,what is a dream company,A dream company is one offering a CTC of at least Rs. 10 LPA. A placed student may apply to one dream company drive.,faq#c43
pq-0214,faq-43,quick question - What is a dream company?,A dream company is one offering a CTC of at least Rs. 10 LPA. A placed student may apply to one dream company drive.,faq#c43
pq-0215,faq-43,I want to know: what is a dream company?,A dream company is one offering a CTC of at least Rs. 10 LPA. A placed student may apply to one dream company drive.,faq#c43
pq-0216,faq-44,Is placement training compulsory?,Yes. Students need at least 80% attendance in placement training sessions to take part in drives.,faq#c44
pq-0217,faq-44,is placement training compulsory,Yes. Students need at least 80% attendance in placement training sessions to take part in drives.,faq#c44
pq-0218,faq-44,Is placement training compulsory? Please explain.,Yes. Students need at least 80% attendance in placement training sessions to take part in drives.,faq#c44
pq-0219,faq-44,quick question - Is placement training compulsory?,Yes. Students need at least 80% attendance in placement training sessions to take part in drives.,faq#c44
pq-0220,faq-44,"pls help, is placement training compulsory?",Yes. Students need at least 80% attendance in placement training sessions to take part in drives.,faq#c44
pq-0221,faq-45,What happens if I reject an offer after accepting it?,Backing out after accepting an offer leads to being debarred from all further placement drives.,faq#c45
pq-0222,faq-45,what happens if i reject an offer after accepting it,Backing out after accepting an offer leads to being debarred from all further placement drives.,faq#c45
pq-0223,faq-45,I want to know: what happens if I reject an offer after accepting it?,Backing out after accepting an offer leads to being debarred from all further placement drives.,faq#c45
pq-0224,faq-45,What happens if I reject an offer after accepting it? Please explain.,Backing out after accepting an offer leads to being debarred from all further placement drives.,faq#c45
pq-0225,faq-45,What happens if I reject an offer after accepting it at AMYPO?,Backing out after accepting an offer leads to being debarred from all further placement drives.,faq#c45
pq-0226,faq-46,What should I bring to a placement drive?,"Bring two printed copies of your resume, your college ID card and a government photo ID, and follow the formal dress code.",faq#c46
pq-0227,faq-46,quick question - What should I bring to a placement drive?,"Bring two printed copies of your resume, your college ID card and a government photo ID, and follow the formal dress code.",faq#c46
pq-0228,faq-46,What should I bring to a placement drive at AMYPO?,"Bring two printed copies of your resume, your college ID card and a government photo ID, and follow the formal dress code.",faq#c46
pq-0229,faq-46,what should i bring to a placement drive,"Bring two printed copies of your resume, your college ID card and a government photo ID, and follow the formal dress code.",faq#c46
pq-0230,faq-46,What should I bring to a placement drive? Please explain.,"Bring two printed copies of your resume, your college ID card and a government photo ID, and follow the formal dress code.",faq#c46
pq-0231,faq-47,Are internships with pre-placement offers allowed?,Yes. Internships with a pre-placement offer (PPO) are allowed in the final semester with approval from the placement cell.,faq#c47
pq-0232,faq-47,I want to know: are internships with pre-placement offers allowed?,Yes. Internships with a pre-placement offer (PPO) are allowed in the final semester with approval from the placement cell.,faq#c47
pq-0233,faq-47,Are internships with pre-placement offers allowed at AMYPO?,Yes. Internships with a pre-placement offer (PPO) are allowed in the final semester with approval from the placement cell.,faq#c47
pq-0234,faq-47,"pls help, are internships with pre-placement offers allowed?",Yes. Internships with a pre-placement offer (PPO) are allowed in the final semester with approval from the placement cell.,faq#c47
pq-0235,faq-47,quick question - Are internships with pre-placement offers allowed?,Yes. Internships with a pre-placement offer (PPO) are allowed in the final semester with approval from the placement cell.,faq#c47
pq-0236,faq-48,Who do I contact for placement questions?,"Contact the placement cell in the Admin Block, first floor, or email placements@amypo.example.",faq#c48
pq-0237,faq-48,Who do I contact for placement questions? Please explain.,"Contact the placement cell in the Admin Block, first floor, or email placements@amypo.example.",faq#c48
pq-0238,faq-48,Can you tell me who do I contact for placement questions?,"Contact the placement cell in the Admin Block, first floor, or email placements@amypo.example.",faq#c48
pq-0239,faq-48,"pls help, who do i contact for placement questions?","Contact the placement cell in the Admin Block, first floor, or email placements@amypo.example.",faq#c48
pq-0240,faq-48,quick question - Who do I contact for placement questions?,"Contact the placement cell in the Admin Block, first floor, or email placements@amypo.example.",faq#c48
pq-0241,faq-49,What is the student portal address?,The student portal is available at portal.amypo.example.,faq#c49
pq-0242,faq-49,"pls help, what is the student portal address?",The student portal is available at portal.amypo.example.,faq#c49
pq-0243,faq-49,Can you tell me what is the student portal address?,The student portal is available at portal.amypo.example.,faq#c49
pq-0244,faq-49,quick question - What is the student portal address?,The student portal is available at portal.amypo.example.,faq#c49
pq-0245,faq-49,What is the student portal address? Please explain.,The student portal is available at portal.amypo.example.,faq#c49
pq-0246,faq-50,What is my portal username?,"Your portal username is your register number, for example S2023CS041.",faq#c50
pq-0247,faq-50,Tell me my portal username?,"Your portal username is your register number, for example S2023CS041.",faq#c50
pq-0248,faq-50,What is my portal username? Please explain.,"Your portal username is your register number, for example S2023CS041.",faq#c50
pq-0249,faq-50,What is my portal username at AMYPO?,"Your portal username is your register number, for example S2023CS041.",faq#c50
pq-0250,faq-50,quick question - What is my portal username?,"Your portal username is your register number, for example S2023CS041.",faq#c50
pq-0251,faq-51,How do I reset my portal password?,Use Forgot Password on the login page. An OTP is sent to your registered mobile number.,faq#c51
pq-0252,faq-51,how do i reset my portal password,Use Forgot Password on the login page. An OTP is sent to your registered mobile number.,faq#c51
pq-0253,faq-51,"pls help, how do i reset my portal password?",Use Forgot Password on the login page. An OTP is sent to your registered mobile number.,faq#c51
pq-0254,faq-51,Tell me the process to reset my portal password?,Use Forgot Password on the login page. An OTP is sent to your registered mobile number.,faq#c51
pq-0255,faq-51,quick question - How do I reset my portal password?,Use Forgot Password on the login page. An OTP is sent to your registered mobile number.,faq#c51
pq-0256,faq-52,Why is my portal account locked?,The account is locked for 30 minutes after 5 failed login attempts.,faq#c52
pq-0257,faq-52,quick question - Why is my portal account locked?,The account is locked for 30 minutes after 5 failed login attempts.,faq#c52
pq-0258,faq-52,Why is my portal account locked? Please explain.,The account is locked for 30 minutes after 5 failed login attempts.,faq#c52
pq-0259,faq-52,why is my portal account locked,The account is locked for 30 minutes after 5 failed login attempts.,faq#c52
pq-0260,faq-52,Why is my portal account locked at AMYPO?,The account is locked for 30 minutes after 5 failed login attempts.,faq#c52
pq-0261,faq-53,How do I change my registered mobile number?,Submit the mobile number change form at the admin office with your ID card. The change takes effect within 2 working days.,faq#c53
pq-0262,faq-53,I want to know: how do I change my registered mobile number?,Submit the mobile number change form at the admin office with your ID card. The change takes effect within 2 working days.,faq#c53
pq-0263,faq-53,"pls help, how do i change my registered mobile number?",Submit the mobile number change form at the admin office with your ID card. The change takes effect within 2 working days.,faq#c53
pq-0264,faq-53,Can you tell me how do I change my registered mobile number?,Submit the mobile number change form at the admin office with your ID card. The change takes effect within 2 working days.,faq#c53
pq-0265,faq-53,quick question - How do I change my registered mobile number?,Submit the mobile number change form at the admin office with your ID card. The change takes effect within 2 working days.,faq#c53
pq-0266,faq-54,Is two-factor authentication available on the portal?,Yes. Two-factor authentication can be turned on under Profile > Security.,faq#c54
pq-0267,faq-54,I want to know: is two-factor authentication available on the portal?,Yes. Two-factor authentication can be turned on under Profile > Security.,faq#c54
pq-0268,faq-54,"pls help, is two-factor authentication available on the portal?",Yes. Two-factor authentication can be turned on under Profile > Security.,faq#c54
pq-0269,faq-54,Is two-factor authentication available on the portal at AMYPO?,Yes. Two-factor authentication can be turned on under Profile > Security.,faq#c54
pq-0270,faq-54,quick question - Is two-factor authentication available on the portal?,Yes. Two-factor authentication can be turned on under Profile > Security.,faq#c54
pq-0271,faq-55,Where can I see my attendance on the portal?,Course-wise attendance is shown on the portal under Academics > Attendance and is updated every week.,faq#c55
pq-0272,faq-55,"pls help, where can i see my attendance on the portal?",Course-wise attendance is shown on the portal under Academics > Attendance and is updated every week.,faq#c55
pq-0273,faq-55,I want to know: where can I see my attendance on the portal?,Course-wise attendance is shown on the portal under Academics > Attendance and is updated every week.,faq#c55
pq-0274,faq-55,Can you tell me where can I see my attendance on the portal?,Course-wise attendance is shown on the portal under Academics > Attendance and is updated every week.,faq#c55
pq-0275,faq-55,quick question - Where can I see my attendance on the portal?,Course-wise attendance is shown on the portal under Academics > Attendance and is updated every week.,faq#c55
pq-0276,faq-56,Where can I see my timetable?,Your class timetable and exam timetable are on the portal under Academics > Timetable.,faq#c56
pq-0277,faq-56,Where can I see my timetable at AMYPO?,Your class timetable and exam timetable are on the portal under Academics > Timetable.,faq#c56
pq-0278,faq-56,Where can I see my timetable? Please explain.,Your class timetable and exam timetable are on the portal under Academics > Timetable.,faq#c56
pq-0279,faq-56,"pls help, where can i see my timetable?",Your class timetable and exam timetable are on the portal under Academics > Timetable.,faq#c56
pq-0280,faq-56,quick question - Where can I see my timetable?,Your class timetable and exam timetable are on the portal under Academics > Timetable.,faq#c56
pq-0281,faq-57,Who do I contact if the portal is not working?,Email the IT helpdesk at helpdesk@amypo.example or call extension 2100 between 9 AM and 5 PM.,faq#c57
pq-0282,faq-57,I want to know: who do I contact if the portal is not working?,Email the IT helpdesk at helpdesk@amypo.example or call extension 2100 between 9 AM and 5 PM.,faq#c57
pq-0283,faq-57,quick question - Who do I contact if the portal is not working?,Email the IT helpdesk at helpdesk@amypo.example or call extension 2100 between 9 AM and 5 PM.,faq#c57
pq-0284,faq-57,"pls help, who do i contact if the portal is not working?",Email the IT helpdesk at helpdesk@amypo.example or call extension 2100 between 9 AM and 5 PM.,faq#c57
pq-0285,faq-57,Who do I contact if the portal is not working at AMYPO?,Email the IT helpdesk at helpdesk@amypo.example or call extension 2100 between 9 AM and 5 PM.,faq#c57
pq-0286,faq-58,Can parents access the portal?,Parents get a separate login to view attendance and results. It is created on request at the admin office.,faq#c58
pq-0287,faq-58,I want to know: can parents access the portal?,Parents get a separate login to view attendance and results. It is created on request at the admin office.,faq#c58
pq-0288,faq-58,Can parents access the portal? Please explain.,Parents get a separate login to view attendance and results. It is created on request at the admin office.,faq#c58
pq-0289,faq-58,Can parents access the portal at AMYPO?,Parents get a separate login to view attendance and results. It is created on request at the admin office.,faq#c58
pq-0290,faq-58,quick question - Can parents access the portal?,Parents get a separate login to view attendance and results. It is created on request at the admin office.,faq#c58
